name,geom,key,value
Center Shopping,"POLYGON ((-48.2619345 -18.9097159, -48.26106 -18.9098633, -48.2608409 -18.9099138, -48.2607832 -18.9098551, -48.2608742 -18.9097687, -48.2609501 -18.9095707, -48.2603477 -18.9087389, -48.2596906 -18.9091795, -48.2603688 -18.9100177, -48.2591966 -18.9102271, -48.259375 -18.9109376, -48.2597522 -18.9108649, -48.2597841 -18.911013, -48.2598104 -18.9110088, -48.2598332 -18.9110052, -48.2598806 -18.9109976, -48.2598649 -18.9109183, -48.2598517 -18.9108519, -48.2605831 -18.9107661, -48.2605855 -18.9107757, -48.2607169 -18.9113038, -48.2609668 -18.9112617, -48.2608371 -18.9107064, -48.2608322 -18.9106855, -48.261936 -18.9104193, -48.2618331 -18.9100064, -48.2619768 -18.9099561, -48.2619345 -18.9097159))",shop,mall
Botafogo Praia Shopping,"POLYGON ((-43.1841581 -22.9477331, -43.184146 -22.9474345, -43.1827229 -22.947329, -43.1827099 -22.9474657, -43.1827035 -22.9475959, -43.1827395 -22.9476403, -43.1830747 -22.9476682, -43.1834019 -22.9476978, -43.1840988 -22.9477697, -43.1841581 -22.9477331))",shop,mall
Lagoon,"POLYGON ((-43.2174627 -22.9757361, -43.2173208 -22.976062, -43.2181884 -22.9770318, -43.2184841 -22.9769157, -43.2184515 -22.9768263, -43.2183266 -22.9766532, -43.2181847 -22.9765094, -43.2180557 -22.9764347, -43.2174627 -22.9757361))",shop,mall
Cobal do Humaitá,"POLYGON ((-43.1966205 -22.9546862, -43.196363 -22.9553659, -43.1966461 -22.9554483, -43.1969251 -22.9555296, -43.1972146 -22.9556139, -43.1973139 -22.9553119, -43.1970879 -22.9552575, -43.1972042 -22.9548364, -43.1971498 -22.9548224, -43.196855 -22.9547465, -43.1966205 -22.9546862))",shop,mall
Park Shopping Barigüi,"POLYGON ((-49.3178668 -25.4361818, -49.3180626 -25.4358479, -49.318027 -25.4357765, -49.3180465 -25.4357205, -49.3180653 -25.4356866, -49.3181712 -25.4356895, -49.3182425 -25.4356587, -49.3182772 -25.4355778, -49.3182525 -25.4353441, -49.3181906 -25.4352794, -49.318164 -25.4352515, -49.3180133 -25.4351853, -49.317544 -25.4349859, -49.3173686 -25.4350248, -49.3168664 -25.4348266, -49.3166252 -25.434591, -49.3167656 -25.4343481, -49.3167972 -25.4342178, -49.3167992 -25.4340964, -49.3167418 -25.4340767, -49.3167557 -25.4340535, -49.3168051 -25.4340624, -49.3167972 -25.4337214, -49.3167122 -25.433716, -49.3165837 -25.4337607, -49.3165078 -25.433507, -49.3164779 -25.4334873, -49.3162954 -25.4333667, -49.3162645 -25.4333472, -49.3158986 -25.4333944, -49.3158898 -25.4334163, -49.3158501 -25.4335126, -49.3158404 -25.4335257, -49.3152793 -25.4336669, -49.3152485 -25.4337478, -49.3155695 -25.4346266, -49.3153306 -25.4346983, -49.3156068 -25.4355054, -49.3156479 -25.4355433, -49.3156784 -25.4355475, -49.3157173 -25.4355383, -49.3157562 -25.435529, -49.3158033 -25.4355112, -49.3158744 -25.4354649, -49.3159239 -25.4354641, -49.3159496 -25.4354724, -49.3159967 -25.4355099, -49.3160065 -25.4355285, -49.3160227 -25.435559, -49.3160207 -25.4355898, -49.3159967 -25.4356667, -49.3162457 -25.4357919, -49.3165002 -25.4358384, -49.3167418 -25.4358124, -49.3176098 -25.4361693, -49.317766 -25.4361997, -49.3178668 -25.4361818))",shop,mall
Recreio Shopping,"POLYGON ((-43.4894304 -23.0216728, -43.4892577 -23.0222941, -43.4884855 -23.0220914, -43.4882659 -23.0220362, -43.4882498 -23.0220073, -43.4878751 -23.0213506, -43.4876357 -23.0209291, -43.4874076 -23.0205274, -43.4874247 -23.0203694, -43.4875621 -23.0202983, -43.4877595 -23.0203615, -43.4881171 -23.0209458, -43.4881747 -23.0209249, -43.4882257 -23.0209286, -43.4882834 -23.0209557, -43.4883263 -23.0209989, -43.488345 -23.0210483, -43.4883558 -23.021089, -43.4883504 -23.0211285, -43.4883263 -23.0211693, -43.4882927 -23.021205, -43.4883198 -23.0212615, -43.4884681 -23.0215701, -43.4885226 -23.0214474, -43.4885858 -23.0213354, -43.4887476 -23.0212503, -43.4889079 -23.0211704, -43.4889792 -23.0211328, -43.4890607 -23.0211531, -43.4891001 -23.0210194, -43.4893275 -23.0210776, -43.4892294 -23.0214037, -43.4893147 -23.0214255, -43.4892537 -23.0216255, -43.4894304 -23.0216728))",shop,mall
Shopping Cidade,"POLYGON ((-43.9401134 -19.9214572, -43.9402595 -19.9220518, -43.9406833 -19.9219597, -43.9407736 -19.9223272, -43.9405359 -19.9223788, -43.9405639 -19.9224926, -43.9399455 -19.9226269, -43.9398723 -19.9223289, -43.9395717 -19.9223941, -43.939512 -19.9221511, -43.9398855 -19.92207, -43.9398084 -19.9217564, -43.9397541 -19.9215352, -43.9401134 -19.9214572))",shop,mall
Shopping Catuaí,"POLYGON ((-51.1840908 -23.3421649, -51.1840504 -23.3421647, -51.1832586 -23.3421809, -51.1832638 -23.3423724, -51.1833935 -23.3423679, -51.1834731 -23.3424406, -51.1833211 -23.342583, -51.1832714 -23.3425879, -51.1832706 -23.3426849, -51.1827404 -23.3426893, -51.1827518 -23.3438393, -51.1838499 -23.3438216, -51.1838507 -23.3435942, -51.183993 -23.3435844, -51.1839901 -23.3433738, -51.1840432 -23.3433718, -51.184181 -23.3433667, -51.1847204 -23.3433604, -51.1847265 -23.3434629, -51.1847894 -23.3434591, -51.1847913 -23.3434794, -51.1851436 -23.3434572, -51.1854668 -23.3432861, -51.1857081 -23.3431569, -51.1856536 -23.343065, -51.1860547 -23.3428524, -51.1861138 -23.3429456, -51.1862353 -23.3428869, -51.1863168 -23.3430055, -51.1863633 -23.343094, -51.1867098 -23.3429197, -51.1867521 -23.3428654, -51.1868109 -23.3428706, -51.1868469 -23.3428634, -51.1868804 -23.3428531, -51.1869135 -23.3428303, -51.1869466 -23.3428021, -51.1869703 -23.3427643, -51.1869891 -23.3427388, -51.1870115 -23.3427165, -51.1870386 -23.3427017, -51.1870698 -23.3426948, -51.1870998 -23.3426972, -51.1871415 -23.3427124, -51.187236 -23.3427653, -51.1872878 -23.3427693, -51.1873431 -23.3427625, -51.1873801 -23.3427529, -51.1874125 -23.3427348, -51.1876579 -23.3428745, -51.1879801 -23.3424141, -51.187224 -23.3419721, -51.1870924 -23.3421656, -51.1868242 -23.3420069, -51.1870638 -23.3416665, -51.1868853 -23.3415654, -51.1872871 -23.3409861, -51.1875932 -23.3411747, -51.1877697 -23.3409199, -51.1877352 -23.3408755, -51.1872123 -23.340568, -51.187141 -23.3406702, -51.1865299 -23.3403125, -51.1866014 -23.3402137, -51.186474 -23.3401421, -51.1861281 -23.3406541, -51.1860356 -23.3407852, -51.1860745 -23.3408085, -51.1859754 -23.3409587, -51.1857586 -23.3412795, -51.1857186 -23.3412885, -51.1856737 -23.3412936, -51.1856561 -23.3413155, -51.1854898 -23.3412179, -51.1853191 -23.3414724, -51.1849957 -23.341666, -51.1846476 -23.341827, -51.1840822 -23.3418388, -51.1840875 -23.3420157, -51.1840908 -23.3421649))",shop,mall
Downtown,"POLYGON ((-43.3173275 -23.005553, -43.3171915 -23.0055342, -43.3145242 -23.0040987, -43.3144041 -23.0038143, -43.3144556 -23.0036484, -43.3157173 -23.0022895, -43.3162151 -23.0018944, -43.3168073 -23.0015863, -43.3169962 -23.0015784, -43.3172428 -23.001741, -43.3203467 -23.0037867, -43.320854 -23.0041219, -43.3173275 -23.005553))",shop,mall
Conviva,"POLYGON ((-43.3242719 -23.0019758, -43.323611 -23.0027264, -43.3226239 -23.0020627, -43.3229587 -23.0016282, -43.3228728 -23.0015492, -43.3232076 -23.0011858, -43.3242719 -23.0019758))",shop,mall
