name,geom,key,value
Estádio Parque Santiago,"POLYGON ((-38.4737415 -12.9836744, -38.4731916 -12.9828486, -38.4730389 -12.9828835, -38.4729057 -12.9829312, -38.4727659 -12.9830026, -38.4726586 -12.9830867, -38.4725482 -12.9832423, -38.4724832 -12.9834207, -38.4728351 -12.9839545, -38.4729722 -12.9839114, -38.4730915 -12.9840998, -38.4732654 -12.984068, -38.4734491 -12.9839855, -38.473636 -12.9838299, -38.4736871 -12.9837648, -38.4737415 -12.9836744))",leisure,stadium
Estádio Manoel Barradas,"POLYGON ((-38.4281553 -12.9188571, -38.4276386 -12.9201059, -38.4273486 -12.920242, -38.4263214 -12.9199019, -38.4261764 -12.9193764, -38.4266176 -12.9183873, -38.4270146 -12.9182142, -38.428023 -12.9185913, -38.4281553 -12.9188571))",leisure,stadium
Associação Depos,"POLYGON ((-46.2717938 -23.9965688, -46.2716945 -23.9964224, -46.2715633 -23.9963349, -46.2714063 -23.9962722, -46.2712536 -23.9962487, -46.2711004 -23.9962722, -46.2709671 -23.9963294, -46.2708481 -23.9964044, -46.2707179 -23.996538, -46.2706191 -23.9967092, -46.2705457 -23.9968809, -46.2705045 -23.9970853, -46.2704838 -23.9972507, -46.2704854 -23.9974118, -46.2705212 -23.9975525, -46.2705843 -23.997627, -46.2706587 -23.9977123, -46.2707318 -23.9977788, -46.2708557 -23.9978338, -46.2709826 -23.9978848, -46.2710789 -23.9978991, -46.2712277 -23.997887, -46.2713255 -23.9978693, -46.2714387 -23.9978009, -46.2715505 -23.9977052, -46.2716578 -23.9975583, -46.2717503 -23.9973959, -46.2718133 -23.9972294, -46.2718389 -23.9970839, -46.2718614 -23.9968977, -46.2718424 -23.9967096, -46.2717938 -23.9965688))",leisure,stadium
Estádio Abrão Manoel da Costa,"POLYGON ((-49.4885948 -16.6490495, -49.4873297 -16.647811, -49.4896169 -16.6474608, -49.4897844 -16.6479466, -49.4885948 -16.6490495))",leisure,stadium
Estádio Niélsen Louzada,"POLYGON ((-43.4218359 -22.78478, -43.4217072 -22.7847306, -43.4215248 -22.784691, -43.4212995 -22.7847108, -43.4211493 -22.7848196, -43.4210205 -22.7849977, -43.4207845 -22.7855615, -43.4207631 -22.7857296, -43.4207952 -22.7858879, -43.4208703 -22.7860066, -43.4210313 -22.7861253, -43.4213746 -22.786244, -43.421557 -22.7862638, -43.4217179 -22.786244, -43.4219003 -22.7861253, -43.4220183 -22.7859571, -43.4222865 -22.7853439, -43.4222758 -22.7851361, -43.4221685 -22.7849383, -43.4220291 -22.7848592, -43.4218359 -22.78478))",leisure,stadium
América Pontagrossense Futebol Clube,"POLYGON ((-50.1865804 -25.0801486, -50.1859633 -25.0804279, -50.1864252 -25.0812479, -50.1870306 -25.0809758, -50.1865804 -25.0801486))",leisure,stadium
Germano Krüger,"POLYGON ((-50.1571016 -25.1158284, -50.1568992 -25.1166808, -50.1568688 -25.1167453, -50.156803 -25.1168006, -50.1566967 -25.1168375, -50.1565044 -25.1168329, -50.156302 -25.1167822, -50.1561451 -25.1167085, -50.1560743 -25.1166532, -50.1560591 -25.1165564, -50.1562615 -25.1156856, -50.1563172 -25.1155934, -50.1564133 -25.1155474, -50.1565601 -25.1155289, -50.156803 -25.1155704, -50.1569599 -25.1156211, -50.1570358 -25.115681, -50.1570763 -25.1157455, -50.1571016 -25.1158284))",leisure,stadium
Estádio Municipal Leonardo Vinagre da Silveira,"POLYGON ((-34.8906736 -7.14054, -34.8913212 -7.1401814, -34.8913965 -7.1401397, -34.8913617 -7.1400778, -34.8908602 -7.1391859, -34.8907312 -7.1388941, -34.8900957 -7.1395122, -34.8901345 -7.1395811, -34.8904337 -7.1401132, -34.8902679 -7.140205, -34.8903616 -7.1403715, -34.8905273 -7.1402798, -34.8906736 -7.14054))",leisure,stadium
Estádio Municipal Lourival Caetano,"POLYGON ((-34.9257943 -7.1327925, -34.9248797 -7.1331518, -34.9255073 -7.1343468, -34.925846 -7.1342156, -34.9262905 -7.1340434, -34.9262637 -7.1339955, -34.9263013 -7.1339742, -34.9263656 -7.1338332, -34.9262838 -7.1335461, -34.9262047 -7.1332689, -34.9260716 -7.1330554, -34.9259392 -7.1328431, -34.9257943 -7.1327925))",leisure,stadium
Estádio João Corrêa da Silveira - Clube Esportivo Aimoré,"POLYGON ((-51.1560122 -29.7812215, -51.1541669 -29.7817198, -51.1549802 -29.7833154, -51.1554996 -29.7835645, -51.1560191 -29.7835111, -51.1567367 -29.7830959, -51.1560122 -29.7812215))",leisure,stadium
