name,geom,key,value
São João da Boa Vista,POINT (-46.8408318 -22.0172215),aeroway,aerodrome
Fazenda Barra do Agudo,POINT (-48.2241605 -20.8098698),aeroway,aerodrome
Casa Branca,POINT (-47.0611792 -21.7867324),aeroway,aerodrome
Fazenda Eldorado,POINT (-49.4622231 -22.3036118),aeroway,aerodrome
Aeródromo de Coribe,POINT (-44.4681554 -13.82915),aeroway,aerodrome
Aeroporto de Itamotinga,POINT (-40.0914001 -9.155540500000001),aeroway,aerodrome
Fazenda Gávea,POINT (-49.1791687 -23.2250004),aeroway,aerodrome
Mococa,POINT (-47.0370719 -21.4910079),aeroway,aerodrome
Fazenda e Haras Bela Vista,POINT (-48.4031653 -22.4365763),aeroway,aerodrome
Fazenda Campo Grande,POINT (-48.7886009 -20.2577),aeroway,aerodrome
Fazenda Jamaica,POINT (-50.2747575 -22.1892179),aeroway,aerodrome
Aeródromo Fazenda Triângulo,POINT (-59.1720745 -15.1732319),aeroway,aerodrome
Aeródromo Fazenda Sodema,POINT (-55.536944 -12.295278),aeroway,aerodrome
Aeroclube de Lucélia,POINT (-51.0168841 -21.7492033),aeroway,aerodrome
Aeródromo Salviano Inácio Rocha,POINT (-41.0707999 -10.9724969),aeroway,aerodrome
Aeródromo de Caldas do Jorro,POINT (-38.7891249 -11.0397022),aeroway,aerodrome
Aeroporto Abaré,POINT (-39.1182323 -8.736237300000001),aeroway,aerodrome
Igarapé Bahia,POINT (-50.5797005 -6.04778),aeroway,aerodrome
Aeroporto de Caculé,POINT (-42.2645285 -14.4812454),aeroway,aerodrome
Fazenda Tosana,POINT (-42.0282195 -22.5989856),aeroway,aerodrome
Fazenda Sonho Dourado,POINT (-50.1434754 -20.4671884),aeroway,aerodrome
Fazenda Santa Luíza,POINT (-48.5245018 -22.4831009),aeroway,aerodrome
Fazenda São Francisco,POINT (-51.351944 -22.9208336),aeroway,aerodrome
Aeródromo Fazenda Campo Real,POINT (-57.7828406 -13.4447277),aeroway,aerodrome
Aeródromo Fazenda Jacareúna,POINT (-52.2040305 -11.4412825),aeroway,aerodrome
Matão,POINT (-48.3525009 -21.6231003),aeroway,aerodrome
Aeródromo Fazenda Santa Izabel,POINT (-54.6958333 -18),aeroway,aerodrome
Marchesan S.A.,POINT (-48.3928986 -21.6306),aeroway,aerodrome
Aeroporto Municipal de Mogi Mirim,POINT (-46.9053001 -22.4099998),aeroway,aerodrome
Aeródromo Fazenda Quebracho Brasil,POINT (-57.8991667 -21.8480556),aeroway,aerodrome
Marambaia,POINT (-43.8798241 -23.0661864),aeroway,aerodrome
Fazenda Morro Vermelho,POINT (-48.6044998 -22.2772007),aeroway,aerodrome
Fazenda Karajá,POINT (-50.6808333 -14.1125),aeroway,aerodrome
Aeródromo Fazenda Fontana,POINT (-55.3797922 -15.5003174),aeroway,aerodrome
Fazenda Cambuhy,POINT (-48.4790993 -21.6329002),aeroway,aerodrome
Aeroporto Fazenda Nova Damasco,POINT (-51.5294649 -22.4813007),aeroway,aerodrome
Fazenda São Joaquim,POINT (-51.9736099 -22.1994438),aeroway,aerodrome
Aeródromo Fazenda São Gabriel,POINT (-56.9527779 -13.1000004),aeroway,aerodrome
Novo Horizonte,POINT (-49.2344017 -21.4978008),aeroway,aerodrome
Nascimento I,POINT (-46.9836121 -23.6197224),aeroway,aerodrome
Aeródromo Fazenda Vitória,POINT (-54.0589687 -14.965769),aeroway,aerodrome
Fazenda São Francisco do Itaquerê,POINT (-48.5827011 -21.7643174),aeroway,aerodrome
Aldeia Nacepoti,POINT (-54.0055639 -9.5050677),aeroway,aerodrome
Aeródromo Aldeia Piaracu,POINT (-53.0732174 -10.7797654),aeroway,aerodrome
Aeroclube de Nova Iguaçu,POINT (-43.4603004 -22.7453003),aeroway,aerodrome
Aeródromo Fazenda Alto do Piriqui,POINT (-54.7688904 -17.8449993),aeroway,aerodrome
Aeródromo Lagoa da Floresta,POINT (-45.4886111 -5.4886111),aeroway,aerodrome
"Fazenda São José ""OB""",POINT (-46.7546474 -21.425606),aeroway,aerodrome
Aeródromo Fazenda Vida,POINT (-45.5307228 -5.8373223),aeroway,aerodrome
Aeródromo Fazenda Sibéria,POINT (-45.7822502 -5.7197638),aeroway,aerodrome
Aeródromo Agropesp,POINT (-56.406944 -12.441389),aeroway,aerodrome
Ourilândia do Norte,POINT (-51.0499001 -6.7631001),aeroway,aerodrome
Fazenda Pixoxó,POINT (-47.8836105 -21.7796861),aeroway,aerodrome
Aeródromo Aldeia Pontal,POINT (-58.284444 -8.100833),aeroway,aerodrome
Aeródromo Fazenda Portobello,POINT (-44.0800018 -22.9274998),aeroway,aerodrome
Atena,POINT (-51.02861 -22.15278),aeroway,aerodrome
Fazenda Progresso,POINT (-51.4061127 -21.0544434),aeroway,aerodrome
Aeroporto Estadual de Penápolis,POINT (-50.0335999 -21.4099998),aeroway,aerodrome
Fazenda Fortaleza,POINT (-48.8143967 -23.2933445),aeroway,aerodrome
Fazenda da Ilha,POINT (-50.3624992 -24.6499996),aeroway,aerodrome
Aeródromo Fazenda Cerro Azul,POINT (-55.7344 -21.18861),aeroway,aerodrome
Aeródromo Fazenda Tangará,POINT (-55.7099991 -20.8986111),aeroway,aerodrome
Aeródromo Fazenda Santa Fé,POINT (-58.513568 -16.1358171),aeroway,aerodrome
Aeródromo Fazenda Criciúma,POINT (-55.233611 -13.41),aeroway,aerodrome
Fazenda Esperança,POINT (-48.805278 -23.867778),aeroway,aerodrome
Aeródromo Fazenda Espinhaço II,POINT (-52.0747223 -15.3972216),aeroway,aerodrome
Fazenda das Represas,POINT (-48.0495824 -23.875737),aeroway,aerodrome
Fazenda Santana,POINT (-50.8658333 -22.1819439),aeroway,aerodrome
Adhemar Ribeiro,POINT (-47.4711113 -21.6424999),aeroway,aerodrome
Aeródromo Fazenda Recanto Feliz,POINT (-44.0508347 -22.7461109),aeroway,aerodrome
Aeródromo Fazenda Chaparral,POINT (-54.5261116 -20.8444443),aeroway,aerodrome
Aeródromo Agropastoril Bom Pastor,POINT (-54.7119446 -16.4655552),aeroway,aerodrome
Fazenda Caramuru,POINT (-50.9361115 -21.6938896),aeroway,aerodrome
Aeródromo Fazenda Pirapitinga,POINT (-49.231667 -18.7775),aeroway,aerodrome
Aeródromo Fazenda Palmeiras,POINT (-57.0330544 -17.9669437),aeroway,aerodrome
Aeródromo Fazenda São Paulo,POINT (-54.8409619 -22.9537013),aeroway,aerodrome
Aeródromo Fazenda Marabá,POINT (-57.3580551 -21.6872215),aeroway,aerodrome
Fazenda São Sebastião,POINT (-47.5238876 -19.9958324),aeroway,aerodrome
Fazenda Sangrilá,POINT (-49.2122231 -22.2955551),aeroway,aerodrome
Fazenda Nossa Senhora da Conceição,POINT (-48.5427903 -22.758117),aeroway,aerodrome
Fazenda São Geraldo,POINT (-51.8111115 -22.0038891),aeroway,aerodrome
Usina Santa Rita,POINT (-47.6569443 -21.7236118),aeroway,aerodrome
Fazenda Santa Cândida,POINT (-48.1696803 -21.3359014),aeroway,aerodrome
Aeroporto Municipal Olavo Amorim Silveira,POINT (-46.5747188 -23.1277673),aeroway,aerodrome
Fazenda Tapijara,POINT (-49.075901 -23.2199993),aeroway,aerodrome
Aeroporto de Tatuí,POINT (-47.8783355 -23.3318184),aeroway,aerodrome
Aeroporto de Parati,POINT (-44.725506 -23.2240062),aeroway,aerodrome
Usina Açucareira Santo Antônio,POINT (-47.9522209 -21.1219444),aeroway,aerodrome
Fazenda Cataco,POINT (-49.7942442 -21.2563024),aeroway,aerodrome
Fazenda Santa Thereza,POINT (-51.2046668 -18.2307277),aeroway,aerodrome
Aeródromo Fazenda Bandeirantes,POINT (-57.417778 -20.8833332),aeroway,aerodrome
Aeródromo Fazenda Planalto,POINT (-54.4158325 -20.3413887),aeroway,aerodrome
Fazenda Barra do Traitu,POINT (-50.4902763 -21.2469444),aeroway,aerodrome
Aeródromo Fazenda São João,POINT (-55.1005554 -20.3261108),aeroway,aerodrome
Fazenda São José,POINT (-51.3574982 -20.5419445),aeroway,aerodrome
Aeródromo Fazenda Santa Júlia,POINT (-57.1119423 -20.1191673),aeroway,aerodrome
Agrorural Sol Nascente,POINT (-56.315834 -3.508611),aeroway,aerodrome
Fazenda Figueira,POINT (-50.1217854 -21.5115944),aeroway,aerodrome
Aeródromo Fazenda Touro Peru,POINT (-57.497222 -21.080556),aeroway,aerodrome
Aeródromo Fazenda Sumaré,POINT (-53.3430557 -21.5424995),aeroway,aerodrome
Aeródromo Fazenda Xaimite,POINT (-52.9019432 -14.0966673),aeroway,aerodrome
Aeroporto de Itaperuna,POINT (-41.8713534 -21.2170105),aeroway,aerodrome
Iberá,POINT (-50.1890023 -25.0531291),aeroway,aerodrome
Aeródromo Mayrowy,POINT (-57.8388901 -7.956111),aeroway,aerodrome
Usina Califórnia,POINT (-50.86833 -21.91111),aeroway,aerodrome
Fazenda Vale Eldorado,POINT (-46.636751 -23.0058183),aeroway,aerodrome
Aeroporto Comandante Gastão,POINT (-57.4996186 -14.649393),aeroway,aerodrome
Fazenda Santa Marta,POINT (-50.4557811 -8.7159738),aeroway,aerodrome
Aeródromo de Valença,POINT (-43.7117898 -22.2451983),aeroway,aerodrome
Aeródromo Fazenda Santíssima Trindade,POINT (-54.841111 -23.286944),aeroway,aerodrome
Aeródromo Fazenda Baía das Conchas,POINT (-57.64 -21.19),aeroway,aerodrome
Fazenda Vassoural,POINT (-48.0341988 -21.0727997),aeroway,aerodrome
Aldeia Kremoro,POINT (-52.9052773 -7.209722),aeroway,aerodrome
Aldeia Baú,POINT (-54.8297234 -7.3602781),aeroway,aerodrome
Fazenda Califórnia,POINT (-48.6049995 -20.4308338),aeroway,aerodrome
Usina São Carlos,POINT (-48.1627769 -21.2841663),aeroway,aerodrome
Fazenda Avanhandava,POINT (-49.9361 -21.1886005),aeroway,aerodrome
Aeródromo Fazenda Lagoa do Cavalo,POINT (-35.63 -8.17),aeroway,aerodrome
Aldeia Kubenkroke,POINT (-53.3922782 -8.725557200000001),aeroway,aerodrome
Junqueira,POINT (-47.8075206 -19.9983555),aeroway,aerodrome
Três Marias,POINT (-47.0668877 -23.1946657),aeroway,aerodrome
Aeródromo Aldeia de Metuktire,POINT (-52.996666 -10.063611),aeroway,aerodrome
Fazenda Barreiro Grande,POINT (-48.7724991 -20.3474998),aeroway,aerodrome
Fazenda Primavera,POINT (-51.1477386 -21.078315),aeroway,aerodrome
Aeródromo Fazenda Anahí,POINT (-57.7414022 -21.7073723),aeroway,aerodrome
Chácara Serradinho,POINT (-48.3567713 -21.2643906),aeroway,aerodrome
Aeroporto de Alto Paraíso de Goiás,POINT (-47.527108 -14.1196087),aeroway,aerodrome
Fazenda Cajueiro,POINT (-48.4766655 -4.2386112),aeroway,aerodrome
Aeroporto Municipal de Costa Rica,POINT (-53.1656067 -18.4915067),aeroway,aerodrome
Fazenda Santa Maria da Mata,POINT (-50.9711972 -20.723164),aeroway,aerodrome
Fazenda Flamboyant,POINT (-51.5755577 -20.9069443),aeroway,aerodrome
Aeródromo Fazenda Vaca Mocha,POINT (-57.1555171 -22.2249156),aeroway,aerodrome
Aeródromo Fazenda Boa Vista,POINT (-55.0627785 -19.4355564),aeroway,aerodrome
Fazenda Araçatuba,POINT (-51.251667 -21.3433323),aeroway,aerodrome
Fazenda São José do Barreiro,POINT (-48.3427352 -23.7837105),aeroway,aerodrome
Aeródromo Fazenda Irmãos Munaretto,POINT (-55.9930573 -13.1066666),aeroway,aerodrome
Aeródromo Fazenda Buritiz,POINT (-45.4025002 -17.9174995),aeroway,aerodrome
Aeroporto de Limeira,POINT (-47.411944 -22.603889),aeroway,aerodrome
Fazenda Esmeralda,POINT (-51.299882 -22.5870132),aeroway,aerodrome
Aeroporto Aeroportobelo,POINT (-48.6311996 -27.1735716),aeroway,aerodrome
Fazenda Santa Maria,POINT (-49.4111099 -22.0055561),aeroway,aerodrome
Fazenda Santa Helena,POINT (-45.4933014 -22.8903999),aeroway,aerodrome
Fazenda São Marcos,POINT (-48.8192128 -23.9214003),aeroway,aerodrome
Fazenda Bananeira,POINT (-49.0797005 -20.5799999),aeroway,aerodrome
Fazenda Posses do Rio Grande,POINT (-48.976944 -20.310833),aeroway,aerodrome
Fazenda Anhumas,POINT (-52.1977768 -22.1224995),aeroway,aerodrome
Fazenda Gandu,POINT (-49.466932 -22.4826079),aeroway,aerodrome
Aeródromo Fazenda Suri,POINT (-53.133056 -14.815556),aeroway,aerodrome
Sítio São José,POINT (-48.5448967 -21.7960982),aeroway,aerodrome
Aeródromo Estância Regina,POINT (-57.3480568 -21.0088882),aeroway,aerodrome
Aeródromo Fazenda São José,POINT (-58.8855553 -13.7411108),aeroway,aerodrome
Aeródromo Fazenda Gaivota,POINT (-56.9188881 -16.2361107),aeroway,aerodrome
Fazenda Palmital,POINT (-48.2863998 -20.6963997),aeroway,aerodrome
Aeródromo Fazenda Araras,POINT (-55.2519455 -19.6297226),aeroway,aerodrome
Fazenda Bom Retiro,POINT (-50.0461121 -22.7991676),aeroway,aerodrome
Aeródromo Fazenda Jatobá,POINT (-56.2705064 -16.481336),aeroway,aerodrome
Fazenda Beira Rio,POINT (-56.1664817 -7.5550111),aeroway,aerodrome
Auriflama,POINT (-50.5316658 -20.7419434),aeroway,aerodrome
Aeródromo Fazenda Jatobá,POINT (-55.9269447 -20.0991669),aeroway,aerodrome
Aeródromo Vila de Tocos,POINT (-41.2947235 -21.8777771),aeroway,aerodrome
Benedito Mutran,POINT (-49.1762009 -5.7585702),aeroway,aerodrome
Bunge Fertilizantes,POINT (-48.1186104 -24.7191677),aeroway,aerodrome
Aeródromo Sada Siderurgia Ltda,POINT (-44.7691803 -17.5289378),aeroway,aerodrome
Fazenda Canaã,POINT (-49.4324989 -23.0713882),aeroway,aerodrome
São Luiz,POINT (-52.7922211 -24.2625008),aeroway,aerodrome
Aeródromo Fazenda Bela Vista,POINT (-54.4872789 -21.4410808),aeroway,aerodrome
Rosana Camargo,POINT (-50.2432262 -21.0962196),aeroway,aerodrome
Aeródromo Pedro Simões Pimenta,POINT (-36.1370905 -6.4858383),aeroway,aerodrome
