name,geom,key,value
UniSant'Anna,"POLYGON ((-46.5017834 -23.5642433, -46.5017148 -23.5641016, -46.5014487 -23.5642433, -46.5013714 -23.5640702, -46.5016204 -23.5639207, -46.5012684 -23.563787, -46.5011311 -23.5642747, -46.5006161 -23.5641489, -46.5007964 -23.5636139, -46.501114 -23.5634959, -46.5017319 -23.5636847, -46.501998 -23.5641252, -46.5017834 -23.5642433))",amenity,university
Faculdade Newton Paiva,"POLYGON ((-43.9663731 -19.9018884, -43.9662042 -19.9021683, -43.9659655 -19.9020347, -43.9661371 -19.9017648, -43.9663731 -19.9018884))",amenity,university
Faculdades Newton Paiva,"POLYGON ((-43.9661908 -19.9023398, -43.9660835 -19.9025113, -43.9655765 -19.9022289, -43.9657696 -19.9019085, -43.9659494 -19.901785, -43.9660191 -19.9018152, -43.9658126 -19.9021279, -43.9661908 -19.9023398))",amenity,university
Casa das Guardas,"POLYGON ((-48.5082312 -0.7208824, -48.508206 -0.7209324, -48.5081524 -0.7209054, -48.5081776 -0.7208555, -48.5082312 -0.7208824))",amenity,university
Laboratório de Biologia,"POLYGON ((-48.5078366 -0.7201557, -48.5077482 -0.7200658, -48.5076767 -0.7201360999999999, -48.5077651 -0.7202261, -48.5078366 -0.7201557))",amenity,university
Auditório,"POLYGON ((-48.5076767 -0.7201360999999999, -48.5075216 -0.72029, -48.5075923 -0.7203605, -48.5076117 -0.7203799, -48.5077651 -0.7202261, -48.5076767 -0.7201360999999999))",amenity,university
Salas de aula,"POLYGON ((-48.5070059 -0.7207216, -48.5068892 -0.7205952, -48.507134 -0.7203692, -48.5072284 -0.7204715, -48.5072507 -0.7204957, -48.5070059 -0.7207216))",amenity,university
Manutenção,"POLYGON ((-48.5076251 -0.720657, -48.5075996 -0.7206859, -48.5075688 -0.7206586, -48.5075943 -0.7206297, -48.5076251 -0.720657))",amenity,university
Caixa d'Àgua,"POLYGON ((-48.5075414 -0.720669, -48.5075242 -0.7206493, -48.507498 -0.7206679, -48.5075201 -0.7206928, -48.5075397 -0.7207161, -48.5075471 -0.7207108, -48.5075216 -0.720681, -48.5075414 -0.720669))",amenity,university
Coordenação,"POLYGON ((-48.5077673 -0.7207421000000001, -48.5077861 -0.7207618, -48.50783 -0.7207201, -48.5078677 -0.7207598, -48.5078277 -0.7207979, -48.5079455 -0.7209219, -48.5078991 -0.7209659, -48.5077248 -0.7207824, -48.5077673 -0.7207421000000001))",amenity,university
Universidade Estácio de Sá Ilha do Governador,"POLYGON ((-43.2011267 -22.8049769, -43.2010102 -22.8048032, -43.2014944 -22.8045272, -43.2016475 -22.8047555, -43.2014991 -22.8048401, -43.2016005 -22.8049838, -43.2013775 -22.8050965, -43.2010769 -22.8052484, -43.200959 -22.8050726, -43.2011267 -22.8049769))",amenity,university
Universidade Presbiteriana Mackenzie,"POLYGON ((-46.6520819 -23.5455845, -46.6521122 -23.545593, -46.652328 -23.5458186, -46.6525754 -23.5460785, -46.6526142 -23.5461193, -46.6526915 -23.5462005, -46.6528309 -23.5463469, -46.6530095 -23.5465346, -46.6531235 -23.5466544, -46.6532925 -23.546832, -46.6535094 -23.5470598, -46.6533296 -23.547357, -46.6532092 -23.5475561, -46.6531123 -23.5477162, -46.6529559 -23.5479746, -46.6529266 -23.5480231, -46.6527947 -23.5482412, -46.6527097 -23.5483817, -46.6526208 -23.5485287, -46.6522325 -23.5483964, -46.6522278 -23.5484081, -46.6522115 -23.5484018, -46.6520678 -23.5487295, -46.6517071 -23.5486137, -46.6513494 -23.5484989, -46.651086 -23.5484128, -46.6510315 -23.5483957, -46.6509832 -23.5483806, -46.6509245 -23.5483622, -46.6508491 -23.5483385, -46.6508064 -23.5483252, -46.6506994 -23.5482899, -46.6506197 -23.5482636, -46.6505961 -23.5482558, -46.6505548 -23.5482421, -46.6503935 -23.548189, -46.6503065 -23.5481603, -46.6500576 -23.5480781, -46.649789 -23.5479895, -46.6497576 -23.5479792, -46.6504207 -23.5474639, -46.6509942 -23.5476244, -46.6517146 -23.5470423, -46.6514337 -23.5467381, -46.6514839 -23.5466984, -46.6511503 -23.5463393, -46.6511254 -23.5463114, -46.6512006 -23.5462524, -46.6513675 -23.5461215, -46.6515976 -23.5459411, -46.6518752 -23.5457233, -46.6520487 -23.5455873, -46.6520819 -23.5455845))",amenity,university
PUC Ciências Exatas,"POLYGON ((-46.6486732 -23.5491355, -46.6500708 -23.5495778, -46.6501594 -23.549339, -46.6502828 -23.5490063, -46.6488897 -23.5485602, -46.6487894 -23.5488267, -46.6486732 -23.5491355))",amenity,university
Universidade São Judas Tadeu,"POLYGON ((-46.5977588 -23.5530768, -46.5986342 -23.5522585, -46.5980556 -23.5516909, -46.597673 -23.5513155, -46.5976558 -23.5512986, -46.5967459 -23.5521562, -46.5977588 -23.5530768))",amenity,university
Faculdade Una de Contagem,"POLYGON ((-44.0787953 -19.9259945, -44.0789669 -19.9253288, -44.0777814 -19.9248497, -44.0765096 -19.924411, -44.075997 -19.9239195, -44.0759137 -19.9238465, -44.075067 -19.922681, -44.07489 -19.9228878, -44.074434 -19.9232711, -44.0730178 -19.9242444, -44.0737879 -19.9254772, -44.0770786 -19.9267964, -44.0787953 -19.9259945))",amenity,university
Instituto Federal São Paulo,"POLYGON ((-46.6249466 -23.5229372, -46.6249523 -23.5230953, -46.6241155 -23.5233413, -46.6232182 -23.5238454, -46.6231499 -23.5239634, -46.6231468 -23.5241147, -46.6231774 -23.5254066, -46.6218758 -23.5253406, -46.6212301 -23.525306, -46.6211701 -23.5231104, -46.6235821 -23.5229998, -46.6249466 -23.5229372))",amenity,university
Centro de Ciências da Saúde,"POLYGON ((-43.2365568 -22.8410504, -43.2359264 -22.8419181, -43.2353052 -22.8427848, -43.2351246 -22.8426749, -43.2352074 -22.8425593, -43.2351132 -22.8425021, -43.2347854 -22.8429606, -43.2335357 -22.842202, -43.2338733 -22.8417297, -43.2337818 -22.8416742, -43.2336949 -22.8417958, -43.2335168 -22.8416878, -43.2336362 -22.8415206, -43.2336673 -22.8414777, -43.2345113 -22.8403299, -43.234651 -22.8404171, -43.2339032 -22.8414342, -43.2340593 -22.8415317, -43.2350848 -22.8401368, -43.2352627 -22.8402479, -43.2346132 -22.8411314, -43.234664 -22.8411631, -43.2341922 -22.8418052, -43.2342663 -22.8418514, -43.234286 -22.8418545, -43.2347163 -22.8412505, -43.2347755 -22.8412863, -43.2350981 -22.840834, -43.2352063 -22.8408996, -43.2348671 -22.8413746, -43.2349184 -22.8414058, -43.2345074 -22.8419795, -43.2346115 -22.8420429, -43.2350414 -22.8414432, -43.2350929 -22.8414511, -43.2357183 -22.8405741, -43.2358575 -22.8406584, -43.2352302 -22.8415381, -43.2352645 -22.8415776, -43.2348317 -22.8421936, -43.2349101 -22.8422404, -43.2353386 -22.8416324, -43.2354076 -22.8416739, -43.2357376 -22.8412087, -43.2358383 -22.8412696, -43.2354886 -22.8417598, -43.2355316 -22.841786, -43.2351942 -22.8422524, -43.2353403 -22.8423423, -43.2363645 -22.8409318, -43.2365568 -22.8410504))",amenity,university
DCA,"POLYGON ((-35.1977887 -5.8429, -35.1975421 -5.842899, -35.1975424 -5.8428346, -35.197129 -5.8428329, -35.1971284 -5.8429889, -35.1977883 -5.8429917, -35.1977887 -5.8429))",amenity,university
Centro Universitário IESB - Campus Asa Norte,"POLYGON ((-47.8786407 -15.7571619, -47.8784189 -15.7578728, -47.8774428 -15.7575958, -47.8767886 -15.757394, -47.8770338 -15.7566668, -47.8786407 -15.7571619))",amenity,university
UFSC Setor D,"POLYGON ((-48.520472 -27.5983953, -48.5203696 -27.5982838, -48.5203045 -27.5982387, -48.5202336 -27.598212, -48.5201637 -27.5982257, -48.5200992 -27.5982684, -48.5189289 -27.5993495, -48.5187647 -27.5995012, -48.5186476 -27.5995667, -48.5185527 -27.5995968, -48.5172306 -27.6000164, -48.5170617 -27.6000848, -48.5169609 -27.6002451, -48.5169087 -27.6003719, -48.5170321 -27.600995, -48.5171412 -27.6014333, -48.517351 -27.6019368, -48.5173879 -27.6020661, -48.5177628 -27.6021134, -48.5183445 -27.6020551, -48.5194241 -27.6019468, -48.5194648 -27.6019444, -48.5198685 -27.6019209, -48.520729 -27.6018585, -48.5208329 -27.6018381, -48.5207191 -27.6005305, -48.5206792 -27.600072, -48.5205758 -27.5988833, -48.5204859 -27.5984609, -48.520472 -27.5983953))",amenity,university
UFSC Setor C,"POLYGON ((-48.5177628 -27.6021134, -48.5175963 -27.6023249, -48.5173926 -27.6026531, -48.5173311 -27.6027859, -48.5171524 -27.603674, -48.516948 -27.6044058, -48.5169496 -27.6045309, -48.5169953 -27.6046239, -48.5173333 -27.6050282, -48.5176564 -27.6053569, -48.5180921 -27.6057677, -48.5187004 -27.6062737, -48.5192303 -27.606633, -48.5193791 -27.606693, -48.5195089 -27.6067161, -48.5195695 -27.6067164, -48.5196057 -27.6067166, -48.5196368 -27.6067167, -48.5196803 -27.6067031, -48.5197655 -27.6066764, -48.5198576 -27.6066254, -48.5199333 -27.6065625, -48.5210095 -27.605285, -48.5207916 -27.6048975, -48.5206051 -27.6045658, -48.5200848 -27.6036134, -48.5194241 -27.6019468, -48.5183445 -27.6020551, -48.5177628 -27.6021134))",amenity,university
UFSC Setor A,"POLYGON ((-48.5208329 -27.6018381, -48.5215536 -27.6017742, -48.5217349 -27.6017617, -48.521838 -27.6017545, -48.5237886 -27.6016196, -48.5253381 -27.6015125, -48.5261178 -27.6021662, -48.5261338 -27.6021796, -48.5261973 -27.6022024, -48.526275 -27.602188, -48.5263255 -27.6021471, -48.5263639 -27.6020611, -48.5264163 -27.6018529, -48.5264161 -27.6016284, -48.5263742 -27.6014289, -48.5263211 -27.6012995, -48.524481 -27.5983721, -48.5244623 -27.5983424, -48.5238521 -27.5973673, -48.5237671 -27.5972535, -48.5236813 -27.5971616, -48.5235221 -27.5970763, -48.5233856 -27.5970228, -48.5232405 -27.5969878, -48.5230831 -27.5969756, -48.5229186 -27.5969868, -48.5227854 -27.5970132, -48.5226433 -27.5970641, -48.5225098 -27.5971406, -48.5216993 -27.5976694, -48.5212997 -27.5978476, -48.5210954 -27.5979282, -48.5205937 -27.5980585, -48.5205494 -27.5980869, -48.5205348 -27.5981844, -48.520472 -27.5983953, -48.5204859 -27.5984609, -48.5205758 -27.5988833, -48.5206792 -27.600072, -48.5206815 -27.6000979, -48.5207191 -27.6005305, -48.5208329 -27.6018381))",amenity,university
UFSC Setor B,"POLYGON ((-48.5217396 -27.6044655, -48.5218037 -27.6044195, -48.5218686 -27.6043729, -48.5220184 -27.6043067, -48.5221445 -27.6042726, -48.5222923 -27.6042538, -48.5224378 -27.6042547, -48.52249 -27.6042631, -48.5231336 -27.6043661, -48.5234016 -27.604409, -48.5236332 -27.60444, -48.5242578 -27.6039066, -48.5251028 -27.6031851, -48.5260199 -27.6022631, -48.5261178 -27.6021662, -48.5253381 -27.6015125, -48.5237886 -27.6016196, -48.521838 -27.6017545, -48.5217349 -27.6017617, -48.5208329 -27.6018381, -48.520729 -27.6018585, -48.5194648 -27.6019444, -48.5195133 -27.602038, -48.5201033 -27.6035698, -48.5207909 -27.6047937, -48.5210672 -27.6052311, -48.5217396 -27.6044655))",amenity,university
UFSC Setor E,"POLYGON ((-48.5184797 -27.5994555, -48.5185307 -27.5994387, -48.5185576 -27.5994299, -48.5187185 -27.5993278, -48.5194922 -27.5986071, -48.5200003 -27.5980952, -48.5200238 -27.5980379, -48.520002 -27.5979873, -48.5197398 -27.5977138, -48.5163588 -27.5944329, -48.5160383 -27.5941905, -48.5158833 -27.5941612, -48.5157418 -27.5941738, -48.5156167 -27.5942299, -48.5154902 -27.594334, -48.5154209 -27.5944432, -48.5154041 -27.5946102, -48.5157748 -27.5962019, -48.5160089 -27.5971121, -48.5160326 -27.5972043, -48.5166979 -27.5997917, -48.5167677 -27.5998777, -48.5168363 -27.5999025, -48.5169525 -27.5998927, -48.5172077 -27.5998395, -48.5184797 -27.5994555))",amenity,university
Pan-American Cristian Academy,"POLYGON ((-46.7142056 -23.730418, -46.7137417 -23.7302085, -46.7136957 -23.7301072, -46.713612 -23.7300059, -46.7125865 -23.7294373, -46.7126925 -23.7293122, -46.7142365 -23.7281785, -46.7146089 -23.7285551, -46.7145376 -23.7286281, -46.7156377 -23.7298508, -46.7148936 -23.7302562, -46.7145531 -23.7303723, -46.714348 -23.7304274, -46.7142056 -23.730418))",amenity,university
Estácio (Antiga FIR),"POLYGON ((-34.9166403 -8.061354100000001, -34.9160275 -8.06166, -34.9160618 -8.0617891, -34.9158652 -8.0618374, -34.9159135 -8.062002, -34.9158062 -8.062033899999999, -34.9158598 -8.062230400000001, -34.9160298 -8.062202299999999, -34.916386 -8.0621432, -34.9165588 -8.062114599999999, -34.9165758 -8.0621118, -34.9166055 -8.0621803, -34.9167804 -8.0621787, -34.9167798 -8.062324, -34.9172832 -8.0623038, -34.9170834 -8.062027799999999, -34.9166403 -8.061354100000001))",amenity,university
