latitude,longitude,06-07,13-07,16-06,20-07,22-06,29-06
-15.845391057142859,-47.882352742857144,0,0,0,0,0,0
-15.75257498,-47.82894955333334,0,0,0,0,0,0
-21.871382249999996,-51.841162399999995,0,0,0,0,0,0
-20.4520255875,-54.642150349999994,1,1,1,1,1,1
-22.9738698,-46.9976416,0,0,0,0,0,0
-29.16474540208333,-51.200904752083325,0,0,0,0,0,0
-23.43664118,-51.96055352,0,0,0,0,0,0
-23.43647564,-51.95935466000001,0,0,0,0,0,0
-23.001553725,-46.991194175000004,0,0,1,0,0,0
-22.963733884210523,-47.011179157894745,0,0,0,0,0,0
-14.49855220909091,-42.22487475454546,0,0,0,1,1,0
-14.501409520000001,-42.22242788,0,0,0,1,1,0
-14.512260650000002,-42.220340462500005,0,0,0,0,0,0
-22.965341327272725,-43.190437427272734,0,0,0,0,0,0
-24.73027382727273,-53.73783885454545,0,0,0,0,0,0
-15.846679766666666,-47.88332983333333,0,0,0,0,0,0
-20.665653471428573,-43.79930338571428,0,0,0,0,0,0
-21.205102039999996,-49.292141619999995,0,0,0,0,0,1
-21.00856537142857,-40.82186855714286,0,0,0,0,0,0
-24.730460790000002,-53.741429440000005,0,0,0,0,0,0
-24.7445331125,-53.7219755375,0,0,0,0,0,0
-24.73615912,-53.73470848000001,0,0,0,0,0,0
-23.511909257142857,-46.62651895714286,0,0,0,0,0,1
-20.51473564666667,-54.65439113333334,0,0,0,0,0,0
-20.46379618888889,-54.59354274444445,0,0,0,0,0,0
-20.4542182,-54.61686972727273,1,0,0,0,0,0
-21.853432233333333,-46.56417414444444,0,0,0,0,0,0
-23.67087663076923,-46.53344633461538,0,0,0,0,0,0
-20.46853774,-54.60920517000001,0,0,0,0,0,0
-23.66870778,-46.52650184,0,0,0,0,0,0
-22.438431658333332,-46.95937459166666,0,0,0,1,1,0
-22.425617855555558,-46.96510162222223,0,0,0,0,0,0
-25.192105216666665,-49.3119427,0,0,0,0,0,0
-22.90113984,-47.05561764,0,0,0,0,0,0
-22.900571364285717,-47.055758271428566,0,0,0,0,0,0
-18.906108640000003,-48.24663752,0,0,0,0,0,0
-20.42542989,-54.55275929999999,0,0,0,0,0,0
-4.94955856,-47.47876821999999,0,0,1,0,0,1
-20.463273800000003,-54.6059617,0,0,0,0,0,0
-16.717398799999998,-43.85824922857143,0,0,0,1,0,0
-6.063109999999999,-50.074092666666665,0,0,0,0,0,0
-19.398135019999998,-40.0706976,0,0,0,0,0,0
-19.39277504,-40.06943878,0,0,0,0,0,0
-28.723862975000003,-52.8488328375,0,0,0,0,0,0
-19.39855654,-40.0613012,0,0,0,0,0,0
-23.564872445454544,-46.74110994545454,0,0,0,0,0,0
-20.794390149999998,-51.70200308333333,1,1,0,1,0,1
-16.039984083333334,-48.036844816666665,0,0,0,0,0,0
-15.833760816666667,-47.91019333333333,0,0,0,0,0,0
-15.83426126153846,-47.91106837692307,0,0,0,0,0,0
-22.770580041176473,-47.14983554705882,0,0,0,0,0,0
-6.772590940000001,-38.23034405999999,0,0,0,0,1,0
-6.76422112,-38.22013446,0,0,0,0,0,0
-22.913069774999997,-43.68769020833334,0,0,0,1,0,0
-22.77452426,-47.156752,0,0,0,0,0,0
-5.340931314285713,-49.08700332857143,0,0,0,0,0,0
-5.35755226,-49.078400800000004,0,0,0,0,0,0
0.03882346666666667,-51.0755993,0,0,0,0,0,1
-25.41562266,-49.279006779999996,0,0,0,0,0,0
