latitude,longitude,06-07,13-07,16-06,20-07,22-06,29-06,10-08,18-08,24-08,01-09,07-09,15-09,21-09,City
-29.88634991,-51.16599287,0,0,0,0,0,0,0,0,0,0,0,0,0,Canoas
-29.88642608333333,-51.16560190000001,0,0,0,0,0,0,0,0,0,0,0,0,0,Canoas
-22.9588516,-43.17769772,0,0,0,0,0,0,2,0,0,0,0,0,0,Rio de Janeiro
-29.557978875,-51.59264898750001,0,0,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-15.79227062,-47.94227624,1,0,1,0,0,0,1,0,0,0,0,0,0,Indeterminado
-5.791182833333334,-35.19925155,1,0,0,1,1,0,0,0,1,0,0,0,0,Natal
-10.924364120000002,-37.05216626,1,0,0,0,0,0,0,1,0,0,0,0,0,Aracaju
-4.32107942,-40.708651380000006,0,0,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-15.814804011111109,-47.91458605555556,0,0,2,1,1,0,0,0,0,0,0,0,0,Indeterminado
-19.94853590434783,-43.91700293913044,0,0,0,0,0,0,0,0,0,0,0,0,0,Belo Horizonte
-22.0089315875,-47.90058801666667,1,1,0,0,0,0,0,0,0,0,0,0,0,São Carlos
-22.011211967441863,-47.90127235116279,1,0,0,0,0,0,0,0,0,0,0,0,0,São Carlos
-20.644999009523808,-40.47615388571428,0,0,0,0,0,1,0,0,0,0,0,0,0,Guarapari
-19.958998654545454,-43.91296234545455,0,0,1,0,0,0,0,0,0,0,1,0,0,Belo Horizonte
-22.86533316,-43.3744881,0,0,1,0,0,1,1,0,0,0,0,0,0,Rio de Janeiro
-28.848381475,-51.88556555,0,0,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-15.249342528571429,-40.25419924285713,1,0,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-29.47209385294117,-51.81205704705882,0,0,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-12.259428272727272,-38.96491318181819,1,2,1,3,2,3,3,3,2,1,1,0,0,Feira de Santana
-23.33629868484849,-46.72431973333335,0,0,0,1,0,0,0,0,0,0,0,0,0,Franco da Rocha
-29.678172583333332,-51.11554923333333,0,0,0,0,1,0,0,0,0,0,0,0,0,Novo Hamburgo
-29.6751325,-51.13228683,0,0,0,0,1,0,0,0,0,0,0,0,0,Novo Hamburgo
-15.25406808,-40.23424608000001,1,0,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-26.28965835714286,-48.84590992857144,0,0,0,0,0,0,0,0,0,0,0,0,0,Joinville
-12.864888188235295,-38.45686325882353,0,0,0,0,0,0,0,0,0,0,0,0,0,Salvador
-21.75843528,-41.334233620000006,0,0,1,0,0,1,0,0,0,0,0,0,1,Campos dos Goytacazes
-21.76143991111111,-41.33193475555555,0,0,1,0,0,1,0,0,0,0,0,0,1,Campos dos Goytacazes
-23.68153422,-46.67671139,1,1,0,1,0,0,0,0,0,0,0,0,1,São Paulo
-14.204880220000002,-41.66729766,1,0,1,0,0,0,0,0,0,0,0,0,0,Indeterminado
-23.5906122375,-46.67308065,0,1,0,0,2,0,0,0,1,0,0,0,0,São Paulo
-21.77098272333334,-43.34607956666667,1,0,0,2,0,2,0,0,1,0,0,0,0,Juiz de Fora
-21.780902884615386,-43.364670515384624,0,0,0,1,0,0,0,0,0,0,0,0,0,Juiz de Fora
-21.777810047826087,-43.35931386521739,0,0,0,3,0,2,0,0,1,0,0,0,0,Juiz de Fora
-22.894744033333332,-43.115457625,0,0,0,0,0,1,0,0,0,0,0,0,0,Niterói
-22.89552093,-43.11205123000001,0,0,0,0,0,1,0,0,0,0,0,0,0,Niterói
-22.977467457142854,-43.22410948571428,1,0,0,0,0,1,0,0,1,0,1,0,0,Rio de Janeiro
-21.74671727368421,-43.36920331052632,1,1,0,0,0,0,0,0,0,0,0,0,0,Juiz de Fora
-20.53793726,-47.39387591999999,0,0,0,0,2,0,0,1,0,0,0,0,0,Franca
-23.65020415,-46.7048844625,0,0,1,0,0,3,0,0,0,0,0,0,0,São Paulo
-23.644414217647057,-46.6272566,0,0,0,0,0,0,0,0,0,0,1,0,0,São Paulo
-23.605485557142853,-46.67582345714285,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo
-23.59700971,-46.65187976,0,0,0,0,1,0,0,0,1,0,0,1,0,São Paulo
-23.59563455,-46.65216975,0,0,0,0,1,0,0,0,1,0,0,0,0,São Paulo
-23.595489128571426,-46.65377814285714,0,0,0,0,2,0,0,0,1,0,0,0,0,São Paulo
-23.596624277777767,-46.65425818888888,0,0,0,0,2,0,0,0,1,0,0,0,0,São Paulo
-23.61330567142857,-46.656308928571434,0,0,1,0,0,1,0,1,0,0,0,0,0,São Paulo
-30.03105255263158,-51.22170044736842,1,1,1,0,0,0,1,1,0,0,0,0,0,Porto Alegre
-30.03880823333333,-51.20644493333334,0,2,0,0,0,0,0,0,0,0,0,2,0,Porto Alegre
-25.443914566666667,-49.276343527777776,0,0,1,0,1,0,0,0,0,0,0,0,0,Indeterminado
-25.44331247777778,-49.27343287777778,0,0,1,0,1,0,0,0,0,0,0,0,0,Curitiba
-15.823720792307695,-47.89716529230769,0,0,0,1,0,2,0,1,0,1,0,0,0,Indeterminado
-13.00758058,-41.36888704,0,0,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-22.99497575454545,-43.36460173636364,0,0,0,0,0,2,0,0,0,0,0,0,0,Rio de Janeiro
-22.99493131666667,-43.36220753333333,0,0,0,0,0,2,0,0,0,0,0,0,0,Rio de Janeiro
-25.424208137500006,-49.26192011875,1,2,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-22.2268669,-49.935744573076924,0,0,0,1,0,0,0,0,1,0,0,0,0,Marília
-5.7975226769230765,-35.22617525384615,3,0,0,0,0,1,0,0,0,0,0,1,0,Natal
-21.78242262,-46.59204280000001,0,0,0,0,0,0,0,0,0,0,0,0,0,Poços de Caldas
-21.79231994,-46.56078424,0,0,0,0,0,0,0,0,0,0,0,2,0,Poços de Caldas
-3.685984016666666,-40.3369008,0,0,0,0,0,0,1,0,1,0,0,0,0,Indeterminado
-23.453023380769228,-51.92400142307692,0,1,0,1,0,0,0,0,0,0,0,0,0,Maringá
-30.0183794,-51.19323281666667,0,0,1,0,0,2,0,1,0,0,0,0,0,Porto Alegre
-10.922332877777777,-37.05817540000001,1,0,0,0,0,0,0,1,0,0,0,0,0,Indeterminado
-10.91784564,-37.05925966,1,0,0,0,0,0,0,1,0,0,0,0,0,Aracaju
-10.91392793,-37.09167301,0,0,0,1,1,1,1,0,1,1,0,0,0,Aracaju
-10.92282874,-37.04681892000001,1,0,0,0,0,0,0,1,0,0,0,0,0,Aracaju
-10.922913311111113,-37.046123866666655,1,0,0,0,0,0,0,1,0,0,0,0,0,Aracaju
-27.577799652380946,-48.53414789523809,0,0,1,2,1,0,0,0,0,0,0,0,0,Indeterminado
-27.576048392857146,-48.53544893571429,0,0,1,2,0,0,0,0,0,0,0,0,0,Florianópolis
-22.356263993103447,-41.8072274137931,0,0,0,0,0,0,0,0,0,0,0,0,0,Macaé
-26.92366597,-49.06587155,0,0,0,0,0,0,0,0,0,0,0,0,0,Blumenau
-26.92716896666667,-49.05514758888889,0,0,0,0,0,0,0,0,1,1,0,0,0,Blumenau
-27.345017318181814,-51.61219014545454,0,0,1,0,0,0,0,0,0,0,0,0,0,Indeterminado
-20.66348324,-40.5001846,0,0,2,0,0,0,0,1,0,0,1,0,0,Indeterminado
-10.92280312,-37.0509584,1,0,0,0,0,0,0,1,0,0,0,0,0,Aracaju
-25.435123100000002,-49.28001525555555,0,1,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-20.85143067368421,-41.11330316842105,0,0,0,0,0,0,1,1,0,0,0,0,0,Cachoeiro de Itapemirim
-20.851481782352934,-41.114379564705885,0,0,0,0,0,0,1,1,0,0,0,0,0,Indeterminado
-20.843615642857145,-41.11324462857143,0,0,0,0,0,0,1,1,0,0,0,0,0,Cachoeiro de Itapemirim
-21.46168461428571,-45.224064757142855,0,0,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-21.857639377777783,-45.29254466666666,0,0,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-15.826913335294115,-47.93049804705882,0,0,0,0,1,2,0,1,0,1,0,0,0,Plano Piloto
-15.826428066666667,-47.92978237777778,0,0,0,0,1,2,0,1,0,1,0,0,0,Plano Piloto
-15.827721228571429,-47.92959460000001,0,0,0,0,1,2,0,1,0,1,0,0,0,Indeterminado
-15.828445754545456,-47.92992081818182,0,0,0,0,1,2,0,1,0,1,0,1,0,Plano Piloto
-15.80022728,-47.89039532,0,0,2,0,1,0,0,0,0,0,0,0,0,Plano Piloto
-6.06229156,-49.90901722,0,0,0,1,2,2,0,0,0,0,0,0,0,Parauapebas
-6.08134236,-49.89609662,0,0,0,0,0,0,0,0,0,1,0,0,0,Parauapebas
-15.824062744444443,-47.92737001111111,0,0,0,0,1,2,0,1,0,1,0,0,0,Plano Piloto
-15.83456322,-47.91187046,0,0,0,0,0,1,0,0,0,0,0,1,1,Plano Piloto
-15.82273722,-47.89558572,0,0,0,1,0,1,0,1,0,1,0,0,0,Plano Piloto
-15.816657500000002,-47.88889606,0,0,0,1,0,0,0,0,0,0,1,0,0,Plano Piloto
-15.820295983333333,-47.92654200000001,0,0,0,0,1,1,0,1,0,2,0,0,0,Plano Piloto
-15.813276733333332,-47.91244115555556,0,0,2,1,0,0,0,0,0,0,0,0,0,Plano Piloto
-15.845391057142859,-47.882352742857144,0,0,0,0,0,1,2,0,0,1,0,0,0,Indeterminado
-15.75257498,-47.82894955333334,0,0,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-21.87138225,-51.8411624,0,0,0,0,0,0,1,0,4,2,0,0,0,Indeterminado
-20.4520255875,-54.64215035,1,3,1,1,4,1,4,2,2,4,0,2,1,Campo Grande
-22.9738698,-46.9976416,0,1,0,1,0,0,0,0,0,0,0,0,0,Valinhos
-29.16474540208333,-51.20090475208333,1,0,0,0,0,1,0,0,0,0,0,0,0,Caxias do Sul
-23.43664118,-51.96055352,0,0,1,0,0,2,0,0,0,1,0,0,0,Maringá
-23.43647564,-51.95935466000001,0,0,1,0,0,2,0,0,0,1,0,0,0,Maringá
-23.001553725,-46.991194175,0,0,4,0,1,0,0,0,0,0,0,0,0,Valinhos
-22.963733884210523,-47.011179157894745,0,0,0,0,0,0,0,0,0,0,0,0,0,Valinhos
-14.49855220909091,-42.22487475454546,0,0,0,1,2,1,0,0,0,0,0,0,0,Indeterminado
-14.50140952,-42.22242788,0,0,0,1,2,1,0,0,0,0,0,0,0,Indeterminado
-14.512260650000002,-42.22034046250001,0,0,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-22.965341327272725,-43.19043742727273,0,0,0,0,0,0,2,0,0,1,0,0,0,Rio de Janeiro
-24.73027382727273,-53.73783885454545,0,0,0,0,0,0,0,0,0,0,0,0,0,Toledo
-15.846679766666664,-47.88332983333333,0,0,0,0,0,1,2,0,0,1,0,0,0,Indeterminado
-20.665653471428573,-43.79930338571428,0,0,0,0,0,0,0,0,0,0,0,0,0,Conselheiro Lafaiete
-21.20510204,-49.29214162,0,0,0,0,0,1,0,0,0,0,0,0,0,Indeterminado
-21.00856537142857,-40.82186855714286,0,0,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-24.73046079,-53.74142944000001,0,0,0,0,0,0,0,0,0,0,0,0,0,Toledo
-24.7445331125,-53.7219755375,0,0,0,0,0,0,0,0,0,0,0,0,0,Toledo
-24.73615912,-53.73470848000001,0,0,0,0,0,0,0,0,0,0,0,0,0,Toledo
-23.511909257142854,-46.626518957142856,0,0,1,0,0,1,1,0,0,0,0,0,0,São Paulo
-20.514735646666672,-54.65439113333334,0,0,0,0,1,0,0,0,0,0,0,0,0,Campo Grande
-20.463796188888892,-54.593542744444456,0,0,0,0,0,0,0,0,0,0,0,0,1,Indeterminado
-20.4542182,-54.61686972727273,2,0,1,1,0,0,0,0,0,0,0,0,0,Campo Grande
-21.85343223333333,-46.564174144444436,0,0,0,0,0,0,0,0,0,0,0,0,0,Poços de Caldas
-23.67087663076923,-46.533446334615384,2,0,1,2,0,0,0,0,0,1,0,0,1,Santo André
-20.46853774,-54.60920517000001,0,0,1,0,0,0,0,0,0,0,0,0,0,Campo Grande
-23.66870778,-46.52650184,1,0,1,2,0,0,2,0,0,0,0,0,1,Santo André
-22.43843165833333,-46.95937459166666,0,0,0,1,1,0,1,1,0,0,0,0,0,Indeterminado
-22.425617855555558,-46.96510162222222,0,0,0,0,0,0,1,1,0,0,0,0,0,Indeterminado
-25.192105216666665,-49.3119427,0,0,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-22.90113984,-47.05561764,1,0,1,0,0,1,0,0,0,0,0,0,0,Campinas
