latitude,longitude,16-06,22-06,29-06,06-07,13-07,20-07
-25.403067457142857,-52.414807200000006,1,0,0,1,0,1
-22.906756075862074,-43.09709470689655,11,9,12,10,15,15
-3.0768814538461537,-59.956895215384606,10,13,14,11,9,14
-22.90401713846154,-43.088885361538466,10,9,11,10,15,15
-20.87376228888889,-48.809247444444445,0,0,1,2,1,0
-20.88170268,-48.81054062,0,0,1,2,1,0
-21.20812454,-50.4285814,13,15,15,15,15,15
-29.47004214444444,-53.4739751,0,0,0,0,0,0
-6.134254028571428,-38.20437822857143,0,0,0,1,0,0
-23.59666576666667,-46.40363248333333,3,1,3,11,8,9
-29.347308615384616,-53.30762620769231,0,0,0,0,0,0
-29.35043375714286,-53.33144155714285,0,0,0,0,0,0
-26.22711344,-52.6706557,12,8,3,11,2,3
-23.320826699999998,-46.59010265833333,7,9,7,11,7,5
-3.10485078,-60.06510558000001,5,13,12,15,14,6
-10.92090828,-37.05449738,13,13,13,13,13,13
-30.079018733333335,-51.73334706666666,0,0,0,0,0,0
-22.949973879999998,-43.1845463,12,15,11,6,12,7
-23.399607144444442,-51.955557266666666,14,14,11,15,14,15
-16.183346219999997,-50.95787012,0,0,0,0,0,0
-8.8817865,-36.48380918,15,15,15,15,12,15
-23.44954019230769,-46.49512964615384,12,15,15,15,15,15
-22.8216451,-43.0410431,6,12,9,11,5,8
-22.82149424,-43.04069298,6,12,9,11,5,8
-22.71112125,-42.62663045,15,15,15,15,15,15
-27.104436225714288,-52.61760135142857,15,15,15,15,15,15
-22.83064988,-43.3280137,3,4,7,4,5,8
-18.91164516,-48.243314,7,11,6,8,12,7
-20.430936133333333,-54.59962873333333,15,15,15,15,15,15
-20.435082275,-54.616853025,8,0,5,7,8,9
-20.43144312222222,-54.6007654,15,15,15,15,15,15
-23.5572440875,-46.6538882,6,4,8,6,2,4
-7.1296644250000005,-34.857823249999996,13,11,15,10,10,6
-7.11222458,-34.82454884,11,12,13,9,12,11
-7.0967839,-34.83976132,15,15,9,11,13,11
-6.459805660000001,-37.09729974,13,15,15,15,15,15
-6.44392352,-37.095801460000004,2,0,0,2,1,1
-22.226757546666665,-54.78323946,1,2,1,1,1,1
-3.712601277777778,-38.573045622222224,9,6,10,11,5,4
-29.686907523809527,-53.7915993047619,13,13,13,15,13,13
-28.6319934,-53.607187511111114,0,0,3,0,1,1
-4.09888786,-54.90937338,2,0,0,0,0,1
-22.956490460000005,-43.196181839999994,9,15,13,6,10,9
-7.133005232,-34.85885407999999,7,6,9,11,7,6
-23.5919910625,-46.6387992875,10,15,12,12,14,9
-12.604490718181818,-38.97356786363636,4,9,9,7,4,3
-23.59302324166667,-46.561281958333325,12,10,12,15,15,13
-28.627636300000002,-52.95373169090909,1,0,0,0,1,0
